Nr;Navn;Antal;procent;årstal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;Daniel;246;8;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;Marius;240;7;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;Philip;236;7;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;Alfred;234;7;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;Storm;217;7;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;Albert;208;6;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;Jeppe;208;6;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;Bertram;207;6;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;Tristan;202;6;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;Sander;197;6;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;Christoffer;194;6;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;Johan;194;6;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;William;580;20;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Lucas;572;19;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Victor;570;19;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Noah;528;18;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Oscar;515;17;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Liam;497;17;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Frederik;487;16;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Emil;476;16;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Oliver;476;16;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Magnus;463;16;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Mikkel;457;15;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Alexander;421;14;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Mathias;411;14;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Elias;402;14;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Malthe;399;13;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Sebastian;384;13;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Anton;382;13;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Christian;365;12;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Villads;365;12;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Carl;358;12;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Mads;348;12;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;August;335;11;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Benjamin;330;11;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Tobias;296;10;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Valdemar;296;10;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Alfred;279;9;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Johan;273;9;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Marius;263;9;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Jakob;262;9;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Jonas;245;8;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Nikolaj;242;8;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Aksel;239;8;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Marcus;235;8;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;Silas;231;8;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;Adam;229;8;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;Felix;227;8;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;Rasmus;227;8;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Jonathan;223;8;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;Andreas;213;7;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;Sander;212;7;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;Albert;211;7;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;Storm;211;7;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;Philip;204;7;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;Gustav;201;7;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;Tristan;200;7;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;Bertram;189;6;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;Nicklas;189;6;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;Simon;179;6;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;Kasper;177;6;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;Daniel;175;6;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;William;610;22;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Lucas;558;20;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Noah;533;19;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Victor;533;19;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Emil;452;16;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Frederik;451;16;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Oliver;446;16;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Oscar;425;15;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Magnus;424;15;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Alexander;408;14;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Liam;403;14;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Carl;389;14;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Christian;375;13;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Elias;374;13;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Mikkel;349;12;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Mads;340;12;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Felix;336;12;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Villads;332;12;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Mathias;330;12;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Anton;321;11;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Sebastian;319;11;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Malthe;318;11;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Valdemar;302;11;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Benjamin;299;11;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;August;282;10;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Marius;278;10;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Alfred;273;10;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Johan;265;9;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Aksel;255;9;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Marcus;246;9;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Tobias;243;9;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Storm;232;8;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Adam;213;8;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;Nikolaj;209;7;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;Philip;195;7;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;Jonas;189;7;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
